Mike, Trout, 318, 100, 18, 3, 25, 80, 5, 17, 14, 0, 0, 0, 2, 0.314, 0.457, 0.626, 1.083, 199, 102.777777778, 1.36697247706, 0.312, 0.606918238994, 12.6136363636, 1
Mark, Trumbo, 216, 55, 10, 0, 12, 18, 2, 0, 0, 0, 0, 0, 0, 0.255, 0.318, 0.468, 0.785, 101, 33.75, 0.751552795031, 0.213, 0.296296296296, 5.6599378882, 0
Justin, Turner, 158, 42, 7, 0, 5, 20, 4, 1, 1, 0, 0, 0, 1, 0.266, 0.361, 0.405, 0.766, 64, 25.6137704918, 0.76724137931, 0.139, 0.272151898734, 5.91087011349, 0
Trea, Turner, 368, 100, 14, 2, 11, 41, 3, 2, 22, 5, 0, 0, 0, 0.272, 0.35, 0.41, 0.76, 151, 58.487961165, 0.776556776557, 0.138, 0.296195652174, 5.78452363171, 0
Justin, Upton, 331, 82, 10, 0, 17, 44, 4, 1, 4, 0, 0, 0, 5, 0.248, 0.339, 0.432, 0.771, 143, 54.1328125, 0.78313253012, 0.184, 0.329305135952, 5.75427534449, 1
Chase, Utley, 128, 29, 7, 1, 1, 13, 1, 2, 2, 0, 0, 0, 1, 0.227, 0.301, 0.32, 0.621, 41, 13.7359440559, 0.575757575758, 0.093, 0.2109375, 3.7087048951, 0
Luis, Valbuena, 240, 51, 8, 0, 9, 14, 1, 1, 2, 0, 0, 0, 2, 0.213, 0.257, 0.358, 0.615, 86, 23.5545525292, 0.544973544974, 0.145, 0.2125, 3.32970114287, 1
Danny, Valencia, 202, 51, 7, 1, 9, 20, 0, 2, 1, 1, 0, 0, 4, 0.252, 0.314, 0.431, 0.745, 87, 29.2017699115, 0.703947368421, 0.179, 0.277227722772, 5.05415248468, 0
Christian, Vazquez, 207, 44, 9, 0, 3, 7, 3, 0, 2, 1, 0, 1, 0, 0.213, 0.249, 0.3, 0.548, 62, 16.0847706422, 0.44512195122, 0.087, 0.125603864734, 2.63205337781, 0
Christian, Villanueva, 256, 58, 10, 0, 17, 16, 5, 0, 2, 0, 0, 0, 1, 0.227, 0.284, 0.465, 0.749, 119, 35.8114388489, 0.717171717172, 0.238, 0.30859375, 4.85883843679, 1
Jonathan, Villar, 245, 65, 10, 1, 6, 16, 2, 0, 13, 2, 0, 0, 1, 0.265, 0.314, 0.388, 0.702, 95, 32.8172727273, 0.681318681319, 0.123, 0.232653061224, 4.84189269747, 0
Joey, Votto, 327, 95, 19, 2, 9, 69, 6, 3, 1, 0, 0, 0, 1, 0.291, 0.422, 0.443, 0.865, 145, 69.5017369727, 0.952586206897, 0.152, 0.366972477064, 8.05384934877, 1
Neil, Walker, 183, 36, 7, 0, 2, 20, 1, 1, 0, 0, 0, 0, 1, 0.197, 0.278, 0.268, 0.546, 49, 15.2148292683, 0.47619047619, 0.071, 0.180327868852, 2.77567831246, 1
Joey, Wendle, 248, 69, 8, 3, 3, 16, 4, 1, 7, 1, 0, 0, 5, 0.278, 0.326, 0.371, 0.697, 92, 33.2594871795, 0.655555555556, 0.093, 0.181451612903, 4.85408731809, 0
Nick, Williams, 221, 56, 7, 2, 11, 20, 5, 2, 2, 1, 0, 0, 0, 0.253, 0.329, 0.452, 0.782, 100, 34.8032520325, 0.759036144578, 0.199, 0.294117647059, 5.6607699089, 1
Jesse, Winker, 251, 71, 13, 0, 6, 46, 2, 2, 0, 0, 0, 1, 1, 0.283, 0.397, 0.406, 0.803, 102, 45.4651162791, 0.833333333333, 0.123, 0.306772908367, 6.7448249425, 1
Kolten, Wong, 217, 48, 8, 2, 7, 18, 12, 2, 3, 2, 0, 4, 2, 0.221, 0.313, 0.373, 0.687, 81, 27.924743083, 0.654970760234, 0.152, 0.239631336406, 4.25970657198, 1
Christian, Yelich, 291, 85, 14, 2, 11, 31, 4, 1, 12, 1, 0, 0, 2, 0.292, 0.366, 0.467, 0.833, 136, 55.1898780488, 0.87922705314, 0.175, 0.319587628866, 7.12979285798, 1
Ben, Zobrist, 234, 69, 12, 1, 6, 37, 1, 1, 2, 1, 0, 0, 3, 0.295, 0.389, 0.432, 0.821, 101, 43.6411636364, 0.843373493976, 0.137, 0.299145299145, 6.97225691232, 0
Mike, Zunino, 201, 38, 7, 0, 12, 11, 6, 0, 0, 0, 0, 0, 1, 0.189, 0.251, 0.403, 0.654, 81, 21.5831050228, 0.601226993865, 0.214, 0.268656716418, 3.55331607083, 0
